Valence,Arousal,Expression
-0.28472438,-0.008855939,0
-0.33886352,0.235702,6
-0.31623596,0.23653676,0
-0.3497336,0.3016744,6
-0.24536744,0.21850996,0
-0.3318559,0.300052,6
-0.29288626,0.24041468,0
-0.20055649,0.19191006,0
-0.24958593,0.27989548,0
-0.36853993,0.3155076,6
-0.27043086,0.24102727,0
-0.3035555,0.2728961,6
-0.33231267,0.23444736,0
-0.29793063,0.24867561,0
-0.36452013,0.27326536,6
-0.34305167,0.25119984,0
-0.3118558,0.21946998,0
-0.35053566,0.26592046,6
-0.30637193,0.25450602,0
-0.2579633,0.22859332,0
-0.27359372,0.22367595,0
-0.2694668,0.21148643,0
-0.31411973,0.20497552,0
-0.33387664,0.2998223,6
-0.32097495,0.3038138,6
-0.32190883,0.26799393,6
-0.3082313,0.23139103,0
-0.31644246,0.25151062,6
-0.31257477,0.23692453,0
-0.24835584,0.15429386,0
-0.3104964,0.23442805,0
-0.3495439,0.2850959,6
-0.33951706,0.2643106,6
-0.35757422,0.2627339,6
-0.26262575,0.17598598,0
-0.29307735,0.20314983,0
-0.32786182,0.23166835,6
-0.2894785,0.17498845,0
-0.35012776,0.22020875,0
-0.24883133,0.17742237,0
-0.19314785,0.20413715,0
-0.23727939,0.2548408,0
-0.2513025,0.18486583,0
-0.20797735,0.17688537,0
-0.28615826,0.2073162,0
-0.14914402,0.23358211,0
-0.2664002,0.16845548,0
-0.29624686,0.10383114,0
-0.26823464,0.17906289,0
-0.30689782,0.22469248,0
-0.23610798,0.29727858,0
-0.25814232,0.23020102,0
-0.2274819,0.25538775,0
-0.26727822,0.20026095,0
-0.22528684,0.21497482,0
-0.27780524,0.2181718,0
-0.22423473,0.2344825,0
-0.274938,0.288664,0
-0.26500317,0.24706742,0
-0.1813946,0.19300169,0
-0.27308524,0.23011978,0
-0.24030796,0.259254,0
-0.28917947,0.2760347,6
-0.24113327,0.2191344,0
-0.35524297,0.30252752,6
-0.26420063,0.25439095,0
-0.33190832,0.3017102,6
-0.3554862,0.29658154,6
-0.2852121,0.23579393,0
-0.29506174,0.28756976,0
-0.26761022,0.18331638,0
-0.3406388,0.24263087,6
-0.37198478,0.27592874,6
-0.26661345,0.18306077,0
-0.31344455,0.2882615,6
-0.30259046,0.25860745,6
-0.21408886,0.17819792,0
-0.24911955,0.20828119,0
-0.19276974,0.16231811,0
-0.2743443,0.2036775,0
-0.31486264,0.26403654,6
-0.27992496,0.24160363,0
-0.37172043,0.30594924,6
-0.2972168,0.22153167,0
-0.33592004,0.24259162,0
-0.3486465,0.28459868,6
-0.35522962,0.29231513,6
