Valence,Arousal,Expression
-0.3701813,0.27366292,6
-0.19510666,0.26304892,0
-0.3668788,0.2889882,6
-0.38116494,0.22808304,0
-0.32044795,0.24880677,0
-0.33619687,0.24480273,6
-0.35060653,0.2923708,6
-0.30700728,0.29681763,0
-0.3827777,0.28481197,6
-0.37951943,0.25460577,6
-0.38932365,0.2708084,0
-0.40994042,0.29685187,6
-0.38402,0.2847327,0
-0.37221006,0.29963288,6
-0.40028945,0.30096036,6
-0.41436163,0.31132466,6
-0.40319365,0.31906095,6
-0.3914476,0.2862549,0
-0.3198449,0.26427966,0
-0.373113,0.27645934,0
-0.37094826,0.299445,6
-0.39209366,0.2945434,0
-0.35476655,0.30989242,6
-0.34565943,0.30801886,6
-0.37437066,0.3038822,6
-0.30840588,0.30942488,6
-0.33935997,0.21367703,0
-0.36719313,0.28873843,0
-0.42040357,0.23568165,6
-0.41551486,0.25044522,0
-0.5143387,0.29507926,6
-0.5286971,0.23221128,6
-0.43029758,0.31979138,6
-0.41729704,0.32934248,6
-0.34348878,0.26430315,0
-0.39171955,0.32425776,6
-0.3313493,0.24717405,0
-0.3680805,0.2722966,6
-0.39182281,0.23741177,6
-0.36581707,0.2460187,6
-0.4809179,0.27430713,6
-0.43192163,0.17910497,0
-0.42497775,0.33006823,6
-0.43808004,0.30409783,6
-0.42337137,0.31878513,6
-0.345972,0.2626688,6
-0.4076243,0.27393603,6
-0.4286613,0.29406723,6
-0.36680412,0.2901395,6
-0.3575437,0.244154,6
-0.43619835,0.21588562,6
-0.42805398,0.29493928,6
-0.4268787,0.32032037,6
-0.43254167,0.15662283,6
-0.3977502,0.34398276,6
-0.4166482,0.35492748,6
-0.35367987,0.3325237,6
-0.490998,0.36722803,6
-0.39196256,0.33051386,6
-0.40302154,0.31043345,6
-0.38158306,0.32583508,6
-0.41542977,0.36100477,6
-0.43906233,0.34779364,6
-0.42087796,0.3372079,6
-0.3934141,0.2971809,6
-0.37962782,0.29863587,6
-0.44066295,0.23954925,6
-0.41459113,0.2707168,6
