Valence,Arousal,Expression
-0.14139453,0.23824951,5
-0.15807608,0.23688671,5
-0.15358911,0.2619869,5
-0.16046208,0.24017192,5
-0.13008389,0.23057114,5
-0.17374767,0.22319463,5
-0.17522354,0.23393168,5
-0.17194936,0.21836925,5
-0.11192469,0.2192561,5
-0.1435675,0.21424598,5
-0.13956699,0.21958503,5
-0.14161734,0.22408369,5
-0.14103849,0.2419163,5
-0.14872317,0.19495088,5
-0.16205043,0.21923503,5
-0.12389469,0.2535498,5
-0.15255573,0.2147212,5
-0.12894182,0.22177762,5
-0.16252425,0.22343655,5
-0.12690926,0.20420863,5
-0.16897847,0.21365948,5
-0.17538613,0.21891275,5
-0.14591825,0.22257166,0
-0.1841188,0.23420891,5
-0.3745776,0.08136466,0
-0.31433874,0.14364377,0
-0.30678067,0.0674139,0
-0.35636097,0.1734121,0
-0.28829774,0.24017851,0
-0.2897803,0.2878474,0
-0.23951465,0.24969453,0
-0.2427566,0.2495959,0
-0.29828542,0.19520356,0
-0.26043484,0.22571547,0
-0.22195634,0.17963573,0
-0.25498337,0.20790623,0
-0.26907158,0.23560965,0
-0.26663637,0.22819917,0
-0.31370702,0.2791957,0
-0.26686984,0.25822842,0
-0.28070307,0.2574724,6
-0.29663372,0.24747159,6
-0.28501529,0.25803143,0
-0.20757592,0.18508585,0
-0.40044874,0.17233515,6
-0.18823871,0.1375554,0
-0.2479156,0.23498252,0
-0.30604345,0.1985554,0
-0.2522838,0.28555003,0
-0.2832912,0.2728859,6
-0.3258636,0.32941025,6
-0.29923794,0.26434237,6
-0.26138684,0.24033423,0
-0.25707835,0.2773469,0
-0.21973893,0.16609153,0
-0.21950081,0.21935745,0
-0.22497484,0.22769973,0
-0.1900086,0.15761667,0
-0.1726835,0.23336838,0
-0.20291375,0.19134934,0
-0.12755667,0.11262289,0
-0.12689722,0.24610937,0
-0.25142953,0.22352976,0
-0.20283112,0.18866974,0
-0.2365124,0.2489959,0
-0.2510243,0.26249903,0
-0.2821845,0.23270512,0
-0.17174461,0.16418703,0
-0.20668304,0.2474728,0
-0.22841614,0.25617155,0
-0.27725405,0.27888978,0
-0.24961942,0.27420467,6
-0.16745687,0.2625584,0
-0.27851054,0.24488032,6
-0.2404922,0.22902516,0
-0.29873082,0.3110051,6
-0.18922481,0.24400637,0
-0.24085078,0.25643903,0
-0.17461176,0.13825655,0
-0.23692024,0.21452354,0
-0.16337234,0.16825701,0
-0.13865174,0.11411953,0
-0.17024913,0.179681,0
-0.18163294,0.1741597,0
-0.23155275,0.19492124,0
