Valence,Arousal,Expression
-0.26358905,0.20842908,0
-0.30938166,0.1312923,0
-0.27733967,0.28165385,6
-0.31574062,0.30843917,6
-0.30924287,0.26946592,6
-0.30575073,0.30330792,6
-0.33258688,0.28994793,6
-0.35431102,0.33240163,6
-0.35642746,0.38801125,6
-0.3348128,0.2812612,6
-0.3353881,0.3144635,6
-0.30570573,0.28706002,6
-0.34161407,0.27595472,6
-0.41611466,0.37894416,6
-0.3085393,0.26886997,6
-0.3641561,0.2813111,6
-0.27620587,0.16129056,0
-0.32437322,0.27496684,6
-0.3075672,0.17231365,0
-0.35970458,0.2752321,6
-0.2701101,0.15192527,0
-0.34637195,0.23770247,6
-0.30449408,0.19032764,0
-0.2858211,0.1215585,0
-0.24265763,0.14368038,0
-0.3072347,0.2226601,0
-0.3242908,0.2172035,6
-0.3455146,0.2643305,6
-0.29587093,0.17226957,0
-0.3303092,0.22014451,6
-0.3052491,0.23340029,0
-0.31699306,0.20525464,6
-0.2429814,0.15627111,0
-0.251847,0.17989758,0
-0.28737435,0.15020092,0
-0.32564893,0.21892771,6
-0.2770309,0.11623785,0
-0.31525278,0.15998025,6
-0.2362684,0.1056408,0
-0.2803358,0.08758646,0
-0.30712983,0.17521574,0
-0.27955616,0.13980575,0
-0.27831915,0.1633942,0
-0.3144566,0.2126738,6
-0.28429592,0.13479586,0
-0.22554559,0.0543513,0
-0.29201698,0.14449641,0
-0.2505062,0.11280468,0
-0.31210512,0.13716075,0
-0.30537397,0.2038875,0
-0.26691702,0.16140378,0
-0.19674978,0.028216928,0
