Valence,Arousal,Expression
-0.32822698,0.0025570095,0
-0.27571464,0.042687,0
-0.27142677,0.025627106,0
-0.27336404,0.05530554,0
-0.2342912,-0.022207856,0
-0.21568179,0.011574239,0
-0.27748796,0.034826368,0
-0.27324077,0.040521145,0
-0.2791381,0.01361239,0
-0.25669137,0.05196649,0
-0.340057,0.110537946,0
-0.24964768,0.062671244,0
-0.29445958,0.03875774,0
-0.29745916,0.04975179,0
-0.22095671,0.053043276,0
-0.21967283,0.010150433,0
-0.2433626,0.03467402,0
-0.2110255,0.005780846,0
-0.28073582,0.09906533,0
-0.25698417,0.038072646,0
-0.23491195,0.06065172,0
-0.25105053,0.03978482,0
-0.28656125,0.050476134,0
-0.26793602,0.11454764,0
-0.20118012,0.09806293,0
-0.22005597,0.053047925,0
-0.22137582,0.058446497,0
-0.25138202,0.056594968,0
-0.25854513,0.100639045,0
-0.22868946,0.052824557,0
-0.25104693,0.0239622,0
-0.25184166,0.055199444,0
-0.25374463,0.10686323,0
-0.23027563,0.053768873,0
-0.21442565,-0.0035900176,0
-0.2576605,0.06936544,0
-0.26922497,-0.009877384,0
-0.23037007,0.05336654,0
-0.28292418,-0.054048598,0
-0.255226,0.004738778,0
-0.19271424,-0.12792802,0
-0.22411454,-0.1400013,0
-0.20695496,-0.16770822,0
-0.18395072,-0.14612305,0
-0.2085053,0.0017076731,0
-0.2550731,-0.12934917,0
-0.2648527,0.13003784,0
-0.26626468,0.06444991,0
-0.27850208,0.07771149,0
-0.20248863,0.044342786,0
-0.21761405,0.09505141,0
-0.26531127,0.08434713,0
-0.29147616,0.09998107,0
-0.2855672,0.11901064,0
-0.2761322,0.12996693,0
-0.26104423,0.1073786,0
-0.23986843,0.13577199,0
-0.2207585,0.09201929,0
-0.27646837,0.1622575,0
-0.22456941,0.118141115,0
-0.2459338,0.12492576,0
-0.20667206,0.095743805,0
-0.23240337,0.11257315,0
-0.25814542,0.12462437,0
-0.23858076,0.14245021,0
-0.21647742,0.13581797,0
-0.2867641,0.15996736,0
-0.23050612,0.12658636,0
-0.22082815,0.08260915,0
-0.2788693,0.09327036,0
-0.27399898,0.13899341,0
-0.27160174,0.12310621,0
-0.3536449,0.15257345,0
-0.2967409,0.1051299,0
-0.30419436,0.109969705,0
-0.32973093,0.13686125,0
-0.31611505,0.12948962,0
-0.33337674,0.1748297,0
-0.26465386,0.054050833,0
-0.2848596,0.085529655,0
-0.345706,0.11240333,0
-0.31498244,0.07733175,0
-0.28003147,0.08675593,0
-0.40616807,0.13639197,0
-0.32615274,0.044394255,0
-0.3560151,0.06337002,0
-0.33456078,-0.06705469,0
-0.23706308,-0.060207665,0
-0.26226524,-0.18269098,0
-0.2733024,-0.12791047,0
-0.30411646,0.121316165,0
-0.28458917,-0.16029084,0
-0.32781202,0.15917692,0
-0.33551532,0.1969707,0
-0.28657493,0.15340438,0
-0.32936326,0.20445013,0
-0.30820537,0.12936972,0
-0.28968725,0.13513823,0
-0.24026486,0.10205603,0
-0.32626253,0.18413496,0
-0.23344159,0.14616035,0
-0.28215232,0.108735204,0
-0.12639202,0.16615243,7
-0.12309612,0.16920096,7
-0.24082601,0.2210418,0
-0.19702531,0.17937604,0
-0.24101606,0.20687129,0
-0.31694472,0.231058,5
-0.4312416,0.2596734,5
-0.38600755,0.22633016,5
-0.40009853,0.22036195,0
-0.40621683,0.23582646,5
-0.3252582,0.15034294,0
-0.43767002,0.24596551,5
-0.20819888,-0.08777034,0
-0.28881073,0.092476726,0
-0.1788348,-0.11541918,0
-0.19797558,-0.15298164,0
-0.29999146,0.17287546,0
-0.2024758,-0.11716348,0
-0.22880432,0.16305825,0
-0.23783773,0.150618,0
-0.21315983,0.08289403,0
-0.26067168,0.14625564,0
-0.19834746,0.11802778,0
-0.15173799,0.06784484,0
-0.25117803,0.22890893,7
-0.13947678,0.047860116,0
-0.13055673,0.05103588,0
-0.14061187,0.052914202,0
-0.17960538,0.11859527,0
-0.21625414,0.19141972,7
-0.19695403,0.14357725,0
-0.21730459,0.16001967,0
-0.2057337,0.19204752,7
-0.14388922,0.10392898,0
-0.14843203,0.10772169,0
-0.16608724,0.108942986,0
-0.16769731,0.15092316,0
-0.1924166,0.17906772,7
-0.20218922,0.14689636,0
-0.20026028,0.17973138,7
-0.1979922,0.14799471,7
-0.20357464,0.11826366,0
-0.17516151,0.10996166,0
-0.1958306,0.15364859,7
-0.1932018,0.14032233,0
-0.17249458,0.0856958,0
-0.23129496,0.17531435,7
-0.16152067,0.08090487,0
-0.19277483,0.118281364,0
-0.1914647,0.13460584,0
-0.2108702,0.13507321,0
-0.23158109,0.1956667,7
-0.21620694,0.15560788,0
-0.22567743,0.17102936,7
-0.20430228,0.11114019,0
-0.23906082,0.1440673,0
-0.24308825,0.19202106,7
-0.188227,0.12141676,0
-0.22043455,0.17800519,7
-0.22026473,0.13807163,0
-0.21230716,0.17588906,7
-0.21404219,0.11630076,0
-0.24316734,0.22777307,7
-0.16429894,0.07865918,0
-0.16021387,0.100755095,0
-0.21732602,0.17008488,7
-0.18502837,0.100260615,0
-0.20460692,0.16326231,7
-0.23616341,0.14416969,7
-0.23978919,0.18281204,7
-0.24227017,0.20208311,7
-0.23401996,0.14730862,0
-0.24875417,0.22828808,7
-0.22287908,0.18952608,7
-0.24764392,0.1812418,7
-0.21903488,0.16245246,7
-0.21447355,0.16439418,7
-0.21588486,0.16901138,7
-0.24309495,0.13786882,0
-0.22656459,0.18739438,7
-0.2073503,-0.13075164,0
-0.19990574,0.0019363165,0
-0.16265416,-0.13597059,0
-0.19014238,-0.17821461,0
-0.2019143,0.14993663,0
-0.20879963,0.14721306,7
-0.19643196,0.12555486,0
-0.18907604,0.13767971,0
-0.18564905,0.12977342,0
-0.20845771,0.13018462,0
-0.19604743,0.123788685,0
-0.19432557,0.132385,0
-0.18234973,0.14406289,0
-0.21576878,0.1461314,0
-0.17758022,0.106571734,0
-0.20032272,0.13670772,0
-0.21626344,0.1310003,0
-0.1929461,0.07260811,0
-0.21497193,0.09821206,0
-0.18925178,0.07389578,0
-0.19697589,0.15623099,7
-0.2315323,0.17964637,7
-0.12119113,0.12127249,0
-0.19438456,0.123059824,0
-0.20539537,0.14580892,0
-0.13599148,0.103919,0
-0.141907,0.13766028,7
-0.2040498,0.14417218,0
-0.14893554,0.101825535,0
-0.13419178,0.11313975,0
-0.14033061,0.10480791,0
-0.17205024,0.16279835,7
-0.21777713,0.16964865,7
-0.14489841,0.11610156,0
-0.16658497,0.1905283,7
-0.1903438,0.1626051,7
-0.14588241,0.15273468,7
-0.17126815,0.16933672,7
-0.15662126,0.15814584,7
-0.19763798,0.18510132,7
-0.23096147,0.25672394,7
-0.22917399,0.24993032,7
-0.16078286,0.23419319,7
-0.21385118,0.25865504,7
-0.08625251,0.20498514,7
-0.13206911,0.23662673,7
-0.1535698,0.22677857,7
-0.11071549,0.19921768,7
-0.1506197,0.24276368,7
-0.14245456,0.23825583,7
-0.19261317,0.24731268,7
-0.14361227,0.23718038,7
-0.11347017,0.22353286,7
-0.13865937,0.23874809,7
-0.18181446,0.2582543,7
-0.16027312,0.26304376,7
-0.18422118,0.256203,7
-0.2054123,0.2859727,7
-0.13955082,0.23425737,7
-0.13184646,0.26019937,7
-0.13936882,0.24945651,7
-0.16068539,0.25324506,7
-0.13722433,0.20138459,7
-0.15278631,0.20152183,7
-0.16678222,0.2689468,7
-0.16064805,0.24552041,7
-0.14950739,0.27032158,7
-0.17635235,0.29451448,7
-0.12890378,0.27123687,7
-0.19916883,0.32484218,7
-0.12542316,0.26000887,7
-0.09874071,0.26901293,7
-0.16991793,0.3255248,7
-0.14677815,0.30108768,7
-0.13685928,0.30805978,7
-0.14141415,0.29129967,7
-0.16107096,0.30641967,7
-0.10837139,0.28342277,7
-0.09403297,0.27619237,7
-0.06404276,0.23935692,7
-0.09759891,0.27630883,7
-0.01323596,0.2868042,7
-0.031846125,0.23800626,7
-0.057205986,0.25351304,7
-0.0009875558,0.2551966,7
-0.07192254,0.24730714,7
-0.05768438,0.23501398,7
0.009692267,0.2311292,7
-0.001218196,0.28659654,7
-0.021944229,0.2865047,7
-0.09553662,0.29391155,7
-0.06896275,0.2601971,7
-0.005546976,0.29982316,7
-0.052335802,0.28527322,7
-0.06959814,0.2815668,7
-0.04970788,0.28634238,7
-0.07481955,0.2817934,7
-0.058203105,0.2540066,7
-0.089392796,0.29150087,7
-0.019929897,0.31485167,7
-0.049266968,0.26650235,7
-0.10689558,0.2956116,7
-0.1747093,0.38162792,3
-0.05499536,0.33818358,3
-0.1995444,0.677133,4
-0.28779462,0.56774205,5
-0.21631649,0.71709216,4
-0.15977913,0.75923413,4
-0.50559115,0.5405879,5
-0.23074421,0.67741054,4
-0.26768574,0.47013995,5
-0.37818998,0.5066433,5
-0.10322325,0.28317562,0
-0.15203793,0.34261557,3
-0.19382608,0.34349516,5
-0.21951509,0.31132537,0
-0.11767872,0.23670375,0
-0.28201765,0.24684975,0
0.034420226,0.36744037,3
0.056167915,0.38719705,3
0.021579523,0.33554456,3
0.019432366,0.27723408,3
-0.05139756,0.2792138,0
5.821511e-05,0.2023751,0
-0.11046022,0.2966981,0
-0.11560099,0.23179865,0
-0.10113788,0.2106134,0
-0.0021687187,0.2426624,0
-0.08070849,0.21809147,0
-0.07690546,0.23436952,0
