Valence,Arousal,Expression
-0.4040745,0.1538203,0
-0.49821857,0.20928013,5
-0.4042422,0.1259452,5
-0.38979775,0.08219579,0
-0.4059792,0.116888165,5
-0.36244595,0.11553267,0
-0.3391199,0.11418286,0
-0.4202566,0.14249273,5
-0.42947155,0.21166183,5
-0.3096936,0.09986436,0
-0.38971385,0.12851864,0
-0.34331226,0.16324131,5
-0.41920474,0.24099033,5
-0.31872302,0.132143,0
-0.39933115,0.23578036,5
-0.3996784,0.17377657,5
-0.46924195,0.2550977,5
-0.4301237,0.18651447,5
-0.29220548,0.24008806,5
-0.46620956,0.33836207,5
-0.27438948,0.24481696,5
-0.30364132,0.30759522,5
-0.44168344,0.33967578,5
-0.4046497,0.26558942,5
-0.30450127,0.2036798,5
-0.48514476,0.3116466,5
-0.26941687,0.1531124,5
-0.34866822,0.19249141,5
-0.3509454,0.19401672,5
-0.30948728,0.15741658,0
-0.33643046,0.15351525,0
-0.35330322,0.120366186,5
-0.3360452,0.14573044,5
-0.4514014,0.32623324,5
-0.37202194,0.1821689,0
-0.42941067,0.28527635,5
-0.17089213,0.033076674,0
-0.26670432,0.13862686,0
-0.23303947,0.2905556,5
-0.32124275,0.22722395,5
-0.26905984,0.19948176,0
-0.27867132,0.23913234,6
-0.17844407,0.06416759,0
-0.19974521,0.11205661,0
-0.5588667,0.23386286,5
-0.37584794,0.17103055,0
-0.49169102,0.09974301,5
-0.62947845,0.11934133,5
-0.60870063,0.24756783,5
-0.4971058,0.07676354,2
-0.518977,0.2329906,5
-0.57878447,0.27652976,6
-0.5087474,0.37461638,6
-0.48299405,0.36288077,6
-0.58908224,0.3700766,5
-0.468509,0.2636008,5
-0.49117246,0.27586868,6
-0.53668183,0.23966551,6
-0.50941986,0.34832963,6
-0.52157545,0.3129509,6
-0.5456617,0.30679327,6
-0.48071203,0.28876153,6
-0.5522443,0.2907536,5
-0.52729076,0.313381,5
-0.51583934,0.31561112,6
-0.5154461,0.3595547,6
-0.42544097,0.28950167,5
-0.48720732,0.24550053,5
-0.42234787,0.22370663,5
-0.52262,0.23494145,6
-0.4486683,0.21771467,6
-0.51276803,0.23232849,5
-0.510326,0.25928956,5
-0.5056916,0.2732887,6
-0.52280617,0.18671256,6
-0.45917413,0.24529392,6
-0.51312256,0.19701475,5
-0.45982453,0.14834787,5
-0.52907413,0.26479068,6
-0.4586546,0.23006552,6
-0.53125453,0.37387395,6
-0.4831322,0.24457416,5
-0.46340504,0.1813471,0
-0.5598195,0.331923,5
-0.52610904,0.2329665,6
-0.4880984,0.20310648,6
-0.55228645,0.19308683,5
-0.45288432,0.1605961,0
-0.53873456,0.24021478,5
-0.5624387,0.25212646,5
-0.5987272,0.30343968,5
-0.57947433,0.24142048,5
-0.62144583,0.22928753,5
-0.5637265,0.104626656,5
-0.6027177,0.15914392,5
-0.5940326,0.10864642,2
-0.66255987,0.1783397,5
-0.5902108,0.20752718,5
-0.40548444,0.33064288,6
-0.6193637,0.3202741,5
-0.42579684,0.2537399,6
-0.5187181,0.35213357,6
-0.5056804,0.11014542,2
-0.55374986,0.22660343,5
-0.59117573,0.24065019,5
-0.5439767,0.26203966,5
-0.52639866,0.2983085,5
-0.57315505,0.22012237,6
-0.6211116,0.24851403,5
-0.5868968,0.20880745,5
-0.6488392,0.111486524,2
-0.59886926,0.20501523,5
-0.6405149,0.16271386,5
-0.6318766,0.08183521,2
-0.40754837,0.28055865,6
-0.58172685,0.30036187,5
-0.51346,0.32190472,5
-0.43763667,0.3212983,5
-0.5120174,0.25958973,6
-0.37283474,0.2044827,6
-0.4868439,0.28157347,5
-0.40011817,0.21481457,5
-0.5273342,0.3573157,5
-0.4429883,0.3188783,6
-0.5221709,0.24431598,6
-0.52707756,0.3768542,5
-0.52722347,0.32356715,5
-0.44186884,0.3438668,5
-0.5737964,0.36813533,5
-0.5096772,0.38294658,6
-0.50538045,0.27610505,5
-0.50072944,0.33159113,5
-0.4472423,0.30324614,6
-0.49732998,0.3240198,5
-0.4379906,0.2378901,6
-0.5218598,0.32656655,5
-0.5174433,0.24212971,5
-0.37564284,0.2243355,6
-0.51446164,0.26460862,6
-0.49891135,0.27638787,6
-0.47425112,0.29157937,6
-0.48365608,0.27315173,5
-0.4395338,0.26183313,6
-0.40181297,0.28769648,5
-0.45605153,0.30733195,6
-0.41213068,0.24081047,6
-0.3777804,0.22175552,0
-0.47348848,0.2697608,5
-0.4927285,0.19915178,6
-0.48751637,0.29457754,5
-0.42152086,0.18812522,6
-0.48568502,0.24866971,6
-0.49226156,0.21421292,6
-0.3810639,0.22171786,5
-0.4787831,0.2190968,5
-0.45177048,0.22082542,5
-0.44672763,0.23861945,5
-0.52712274,0.23674472,5
-0.5094192,0.27938852,5
-0.44115585,0.27411696,5
-0.4856046,0.24226508,6
-0.4175344,0.17279163,6
-0.5209819,0.25234517,6
-0.4463084,0.15640125,0
-0.49429724,0.1945058,6
-0.52513814,0.32272664,5
-0.46994945,0.15617007,6
-0.40587053,0.17265543,0
-0.5012077,0.22977702,6
-0.51700884,0.17562193,6
-0.4951726,0.21735582,6
-0.48439118,0.26673597,6
-0.46082553,0.214757,6
-0.5098901,0.228161,5
-0.46700904,0.20405607,5
-0.46287057,0.25288552,6
-0.4916781,0.23180956,6
-0.5273928,0.1988853,6
-0.49130192,0.25993213,6
-0.4548173,0.17662722,6
-0.4944171,0.23613952,6
-0.46240124,0.20636564,6
-0.49974355,0.24825454,6
-0.37970814,0.17088619,0
-0.51182956,0.2513062,5
-0.45036,0.17543557,5
-0.5258316,0.32457045,6
-0.5395267,0.34601435,6
-0.5384126,0.18604288,6
-0.46334037,0.16366783,0
-0.49591622,0.25847042,6
-0.54575086,0.19774227,5
-0.5320548,0.30019468,5
-0.4682428,0.28278747,5
-0.5305341,0.26212168,5
-0.5332859,0.28475747,6
-0.4517504,0.25490862,5
-0.5588867,0.2823838,5
-0.47783527,0.21184488,6
-0.53635406,0.20600921,5
-0.50779873,0.3473399,5
-0.43961707,0.2560799,6
-0.4782689,0.25639164,6
-0.48103687,0.37168068,5
-0.5327626,0.28868318,5
-0.4477485,0.3079096,6
-0.337165,0.26621106,5
-0.5006582,0.3062324,5
-0.5065887,0.29776177,6
-0.4816399,0.36969113,5
-0.42465782,0.28321612,5
-0.47123453,0.29780442,5
-0.50222915,0.2878436,5
-0.50265133,0.33298138,5
-0.4771373,0.21748555,6
-0.4254999,0.24783175,5
-0.52220654,0.19151233,5
-0.45912704,0.27906132,6
-0.49029973,0.2912186,5
-0.5100215,0.24218859,5
-0.46674326,0.2488133,6
-0.55484545,0.25744575,5
-0.5308085,0.22966075,5
-0.5295978,0.27466306,5
-0.523594,0.32673478,5
-0.42078283,0.27351403,5
-0.529586,0.34325767,5
-0.49166223,0.2475794,5
-0.53189856,0.2847174,5
-0.46395442,0.20863773,5
-0.49170908,0.17031233,6
-0.59688336,0.28637743,5
-0.40699616,0.30705494,5
-0.45526406,0.2793806,5
-0.5122855,0.23326756,5
-0.5252618,0.27580556,5
-0.49200687,0.2779587,5
-0.43939862,0.24895191,6
-0.46798673,0.25447866,5
-0.49261394,0.22500025,5
-0.40737218,0.18164739,0
-0.45025095,0.18540284,6
-0.3424123,0.17373738,0
-0.50169677,0.22517386,5
-0.4033808,0.13478696,2
-0.3693674,0.21171553,5
-0.4180307,0.28375357,5
-0.41919598,0.20008059,5
-0.4604242,0.2705478,5
-0.4062395,0.17420197,5
-0.5275751,0.29316282,5
-0.44196385,0.25081918,5
-0.5109843,0.24547991,5
-0.47972044,0.17693888,5
-0.4520486,0.14099562,0
-0.4967372,0.23650753,5
-0.4625168,0.17579572,5
-0.46512762,0.20153381,5
-0.45635113,0.14471377,5
-0.45042887,0.20392868,5
-0.4876307,0.16581985,0
-0.42098257,0.22617583,5
-0.48668268,0.19758146,6
-0.5101724,0.19704767,5
-0.4438016,0.18496194,5
-0.38236508,0.17104736,0
-0.39124438,0.1469952,0
-0.45193914,0.19211969,5
-0.4561814,0.16503291,0
-0.38963056,0.13959846,0
-0.36590406,0.07756925,2
-0.42170262,0.10745704,0
-0.36599404,0.19301063,0
-0.3943505,0.19849144,0
-0.41988513,0.19344126,0
-0.4439674,0.20419355,5
-0.40715116,0.1448263,0
-0.36358365,0.19741195,5
-0.45062807,0.21521196,5
-0.3718432,0.21985139,5
-0.5103574,0.14334072,2
-0.44740227,0.2390951,5
-0.4000601,0.24013521,6
-0.5080195,0.23450239,5
-0.33354953,0.28776467,6
-0.37602064,0.2633784,6
-0.29809177,0.25673595,6
-0.3059456,0.21326302,5
-0.25147447,0.20286943,0
-0.35093743,0.17503597,6
-0.2351793,0.18814199,0
-0.28950804,0.24315546,6
-0.29508942,0.23130667,1
-0.30076954,0.17124437,5
-0.24466762,0.21671781,1
-0.25248668,0.21016839,1
-0.21095267,0.09295556,0
-0.16750747,0.14143819,1
-0.16388585,0.13136086,1
-0.14491305,0.1051116,1
-0.36340803,0.31013072,5
-0.257565,0.16216001,1
-0.72473305,0.5028633,5
-0.6803288,0.49022993,5
-0.6287102,0.48565495,5
-0.74031574,0.5197699,5
-0.5126328,0.3410611,5
-0.5584293,0.43123668,5
