Valence,Arousal,Expression
-0.02881587,0.30413324,0
-0.19510657,0.26304886,0
-0.11694896,0.36113858,0
-0.05055004,0.30293572,0
-0.06226786,0.3102287,0
-0.019988485,0.2225976,0
-0.05272946,0.33197144,0
-0.056623105,0.4065388,0
-0.057297204,0.37836197,0
-0.051149923,0.32650778,0
-0.05404217,0.21662934,0
-0.046310376,0.29984653,0
-0.14832298,0.16758814,0
-0.051292997,0.12198259,0
-0.13115433,0.19656129,0
-0.07176955,0.10628685,0
-0.17258865,0.29936397,0
-0.11837451,0.2377589,0
-0.20215584,0.30201477,0
-0.22113055,0.22830833,0
-0.14134252,0.35890016,0
-0.1964578,0.28635508,0
-0.12662709,0.29445973,0
-0.09056848,0.35929412,5
0.09034802,0.19159502,0
-0.13516614,0.30280745,0
0.13861898,0.19367684,0
-0.076246694,0.2140522,0
-0.11165571,0.3436947,0
-0.18417557,0.33271307,0
-0.15349217,0.2815325,0
-0.12607978,0.33646592,0
0.16664176,0.22215185,0
-0.1123669,0.21209824,0
-0.11881742,0.31752336,0
-0.122018695,0.3497312,0
-0.10224952,0.21800855,0
-0.074163586,0.2950279,0
-0.0691482,0.18653935,0
-0.080718994,0.18873575,0
-0.1211395,0.17790933,0
-0.0668093,0.25976068,0
-0.12336776,0.20722038,0
-0.1229098,0.23383044,0
0.027058538,0.19503772,0
-0.07254994,0.22407392,0
0.037765533,0.21473837,0
-0.06581208,0.19168189,0
-0.0496178,0.23560667,0
-0.08928919,0.20119481,0
-0.012924332,0.21733229,0
-0.1263027,0.2667358,0
0.03895016,0.18494828,0
0.036926668,0.16650201,0
-0.0129785575,0.23342331,0
-0.025882263,0.1668874,0
-0.0004040934,0.14704767,0
0.053673327,0.11346805,0
0.03121887,0.18319814,0
0.083248034,0.19266243,0
0.0081666075,0.11757371,0
-0.20206417,0.21760318,0
-0.16212127,0.17766578,0
0.09508145,0.1183463,0
-0.19197364,0.18182807,0
-0.19616659,0.101515025,0
-0.19874814,0.27872497,0
-0.24453709,0.20001712,0
-0.27162153,0.23850888,0
-0.25916684,0.30775076,5
-0.19439916,0.21634673,0
-0.18168497,0.2233718,0
-0.18514864,0.25690523,0
-0.26597697,0.2944886,5
-0.32784313,0.07229447,0
-0.2187987,0.14296599,0
-0.32326427,0.13362938,0
-0.30090615,0.17720874,0
-0.28481916,0.13426487,0
-0.3486447,0.23133431,5
-0.17504509,0.13749483,0
