Valence,Arousal,Expression
-0.11397305,-0.0077121854,0
-0.09571357,-0.019070297,0
-0.13250588,0.014104813,0
-0.15684253,0.0269818,0
-0.11767307,-0.0013194978,0
-0.08955391,-0.0045858324,0
-0.10927749,0.005362898,0
-0.11539146,0.026062012,0
-0.1467715,0.025226176,0
-0.14405644,0.025211394,0
-0.13786073,0.0043551624,0
-0.089330986,-0.00113976,0
-0.12510656,-0.029275477,0
-0.099849164,-0.01441735,0
-0.1031103,0.033477455,0
-0.11431825,0.026745856,0
-0.09494026,0.024805725,0
-0.09440467,0.032400846,0
-0.12702706,0.010565519,0
-0.11753392,0.0006072819,0
-0.14679357,0.035218418,0
-0.103358075,0.00093603134,0
-0.17252555,0.04296747,0
-0.14057638,0.042307645,0
-0.19242902,0.055767626,0
-0.17666909,0.066268146,0
-0.15588854,0.021433115,0
-0.18647358,0.07017839,0
-0.19293542,0.065170735,0
-0.17366263,0.036390394,0
-0.15341315,0.020507634,0
-0.1725966,0.08560765,0
-0.13193583,0.014332116,0
-0.14391063,-0.016937882,0
-0.17881733,0.04670155,0
-0.12851737,-0.0032171607,0
-0.14642021,0.021018744,0
-0.18713434,0.044343382,0
-0.16793498,0.04233089,0
-0.13477331,0.023159832,0
-0.17235577,0.04882309,0
-0.15785104,0.039231658,0
-0.1249806,0.037442565,0
-0.20332754,0.07732093,0
-0.11426757,-0.011646092,0
-0.13697727,0.0147206485,0
-0.16621782,0.006088674,0
-0.19069168,0.03266254,0
-0.16602167,0.027211905,0
-0.16079764,0.0037342608,0
-0.19934332,0.017562538,0
-0.12739037,-0.0054879785,0
-0.15262845,-0.01420337,0
-0.14566672,-0.005147934,0
-0.1605241,0.034881413,0
-0.17683586,-0.0025464892,0
-0.17100705,-0.003309399,0
-0.14211568,0.0047447085,0
-0.121171564,-0.009383172,0
-0.14430742,0.03327039,0
-0.1689808,0.009438902,0
-0.13590752,0.011718154,0
-0.18265598,0.043378025,0
-0.16443896,-0.0090537965,0
-0.15414026,0.017478794,0
-0.1484024,0.022296935,0
-0.1672939,0.024791539,0
-0.2004332,0.058503866,0
-0.1738306,0.026731163,0
-0.12553538,-0.0072750747,0
-0.14842531,0.008004606,0
-0.17696548,0.025162637,0
-0.17065422,0.031879425,0
-0.16941829,0.014056832,0
-0.12528193,0.031704754,0
-0.122446716,0.004261732,0
-0.14877842,-0.012684315,0
-0.15632728,0.018754035,0
-0.14237328,0.008489728,0
-0.13012208,0.025726318,0
-0.13756584,0.03838259,0
-0.1226725,-0.0040134788,0
-0.13379008,0.040931165,0
-0.16556107,0.045016617,0
-0.16523162,0.028682917,0
-0.16223206,0.027989924,0
-0.11221044,0.008916795,0
-0.12849301,0.0115326345,0
-0.16167244,-0.0064836442,0
-0.12715134,0.0071821213,0
-0.16693744,0.052866995,0
-0.1824019,0.030353695,0
-0.16197713,0.013651788,0
-0.15287098,0.01984787,0
-0.18074876,0.006834775,0
-0.18056783,0.0038809776,0
-0.16889617,0.016274571,0
-0.17915535,0.013351977,0
-0.14174478,0.016560733,0
-0.18405735,0.03307137,0
-0.13506263,0.010267675,0
-0.13501933,-0.027531654,0
-0.13073206,-0.0011478364,0
-0.15601258,0.023191184,0
-0.14605889,0.02079308,0
-0.18638103,0.015240371,0
-0.12367147,-0.01841417,0
-0.1286299,-0.028674155,0
-0.12765202,0.007223636,0
-0.1214554,-0.0018424988,0
-0.12629199,-0.008265942,0
-0.1500413,0.04664159,0
-0.14729324,0.013277888,0
-0.17760965,-0.0030741394,0
-0.12499058,0.008819133,0
-0.15093078,0.004735738,0
-0.11398566,-0.0021647513,0
-0.11886591,0.0015490353,0
-0.17998624,0.027337253,0
-0.17218016,0.026683182,0
-0.14781281,0.021641433,0
-0.19102271,0.020709187,0
-0.196204,0.042877495,0
-0.1593368,0.033665746,0
-0.17963682,0.07396671,0
-0.17904052,0.008937746,0
-0.17758265,0.014103949,0
-0.1424288,0.025153577,0
-0.15203479,0.025466919,0
-0.17649409,0.02963525,0
-0.16583945,0.0150746405,0
-0.19494249,0.10026121,0
-0.15595828,0.017272592,0
-0.20187865,0.033213556,0
-0.15079165,0.03895834,0
-0.1614841,0.01623872,0
-0.19229314,0.014286548,0
-0.17324641,0.0434449,0
-0.16333848,0.037121296,0
-0.19072378,0.04803905,0
-0.20839807,0.062219173,0
-0.18075149,0.05910963,0
-0.19390827,0.049135387,0
-0.2668112,0.1009959,0
-0.19093224,0.029248327,0
-0.2366955,0.07744479,0
-0.19112661,0.059400648,0
-0.19353744,0.06716201,0
-0.183017,0.016388386,0
-0.1627926,0.032423943,0
-0.16064754,0.016073942,0
-0.18795735,0.02800572,0
-0.14984927,0.028007865,0
-0.20654541,0.037860513,0
-0.17581855,0.062918305,0
-0.15204377,0.0149926245,0
-0.1659812,0.019758701,0
-0.19495474,0.043291986,0
-0.18050812,0.058461815,0
-0.2254833,0.058154047,0
-0.188652,0.016716689,0
-0.1940392,0.020423025,0
-0.17660339,0.00843358,0
-0.16344436,-0.011869401,0
-0.1542983,0.049087673,0
-0.21949175,0.063260645,0
-0.21298662,0.021371901,0
-0.17700067,0.030085146,0
-0.20631713,0.052506268,0
-0.17729583,-0.0020629168,0
-0.20807943,0.04358247,0
-0.19307324,0.07667759,0
-0.1654146,0.032783896,0
-0.19714603,0.027945668,0
-0.20292228,0.032106906,0
-0.20468882,0.02641204,0
-0.2049229,0.063325614,0
-0.21161103,0.010976821,0
-0.21438894,0.040869445,0
-0.20678137,0.0551517,0
-0.19969156,0.050450593,0
-0.19846916,-0.011537731,0
-0.21304855,0.02883643,0
-0.20487219,0.03695175,0
-0.24430624,0.024571776,0
-0.15312539,0.030153364,0
-0.14826778,0.0011976659,0
-0.23994657,0.02569145,0
-0.16974004,0.02217555,0
-0.22592244,-0.0013721585,0
-0.1988633,0.0072692037,0
-0.19268525,-0.011306912,0
-0.14453672,-0.039907306,0
-0.21339095,0.0008224845,0
-0.18005022,0.0026747882,0
-0.16142309,0.020994425,0
-0.15756232,-0.0038751364,0
-0.18325771,0.014190257,0
-0.16615954,-0.0023314655,0
-0.12805241,0.036384195,0
-0.1341518,0.031049192,0
-0.17168795,0.020964175,0
-0.15392227,-0.004083574,0
