Valence,Arousal,Expression
-0.36397353,0.25701243,0
-0.28259072,0.17302307,0
-0.3256896,0.29185516,0
-0.25436968,0.2790576,0
-0.26663494,0.21540673,0
-0.28655094,0.30699947,0
-0.2339761,0.25571048,0
-0.34310207,0.2322753,0
-0.29712293,0.26421857,0
-0.30237287,0.28766137,0
-0.3435933,0.22658044,0
-0.37730017,0.2137494,0
-0.11555098,0.20004259,0
-0.26272142,0.21507785,0
-0.1264343,0.20199488,6
-0.079224885,0.1483324,0
-0.15463789,0.37430102,6
-0.21004206,0.31992787,0
-0.15900658,0.37631273,6
-0.10956551,0.38661596,6
-0.118991256,0.3758533,6
-0.13599575,0.32179227,6
-0.1645749,0.31341267,0
-0.102819875,0.37324417,6
-0.41091466,0.24782518,0
-0.31002605,0.24270654,0
-0.36831623,0.23600128,0
-0.3846582,0.28270984,0
-0.41138363,0.27424526,0
-0.36224526,0.27684185,0
-0.33912706,0.24917313,0
-0.39966422,0.29780298,0
-0.32255778,0.27072716,0
-0.34812826,0.2603337,0
-0.34986797,0.24888337,0
-0.37545428,0.28006494,0
-0.33071265,0.24885789,0
-0.3065502,0.27385712,0
-0.3676649,0.3263153,0
-0.32722753,0.28722954,0
-0.34494367,0.2882517,0
-0.28217673,0.26202184,0
-0.36784622,0.29474184,0
-0.31017342,0.2954213,0
-0.39349335,0.1733168,0
-0.3475184,0.25110328,0
-0.31440493,0.26953706,0
-0.36543664,0.24000043,0
-0.29224646,0.21763533,0
-0.2643945,0.25760704,0
-0.3376152,0.27584675,0
-0.35353273,0.30578947,0
-0.30666327,0.28857863,0
-0.42015263,0.2717376,0
-0.21103281,0.27384117,0
-0.3337015,0.25625423,0
-0.19848023,0.2175753,0
-0.29856107,0.2530266,0
-0.19697171,0.3041952,0
-0.2547292,0.29146835,0
-0.29080135,0.22826314,0
-0.2333574,0.2622732,0
-0.25069046,0.30823556,0
-0.18128757,0.2911207,0
-0.29229212,0.2400982,0
-0.23550862,0.27131224,0
-0.298993,0.30090648,0
-0.3011203,0.2994604,0
-0.41381675,0.2506788,0
-0.27097404,0.22976203,0
-0.25758818,0.201499,0
-0.2848865,0.19539082,0
-0.36140925,0.24904554,0
-0.36730844,0.2791173,0
-0.42412776,0.24259675,0
-0.36291558,0.22668654,0
-0.4881712,0.12536786,0
-0.47967377,0.2508334,5
-0.2287251,0.25963426,0
-0.3434955,0.28169698,0
-0.2459718,0.23718424,0
-0.2968211,0.29181412,0
-0.34623623,0.30196553,0
-0.21474472,0.25924328,0
-0.19354029,0.41722524,0
-0.31681505,0.44064534,5
-0.32498085,0.32431003,0
-0.27230683,0.42438465,0
-0.26089028,0.37308034,0
-0.29224655,0.38846946,0
-0.27191368,0.371617,0
-0.1984184,0.39623562,0
-0.33573437,0.48314324,4
-0.3326367,0.36932984,0
-0.37060925,0.3740843,0
-0.3778802,0.47996128,5
-0.31704578,0.436305,6
-0.28925633,0.48484904,6
-0.30166113,0.33788842,0
-0.25021896,0.37736386,0
-0.26713148,0.40523654,6
-0.32472333,0.35272527,0
-0.30435884,0.30025136,0
-0.266812,0.32710484,0
-0.11846393,0.33329055,0
-0.2578677,0.3139597,0
-0.29375294,0.3135378,0
-0.24707898,0.30930296,0
-0.23942271,0.33319288,0
-0.37440905,0.293246,0
-0.29474574,0.3324993,0
-0.24207449,0.28633696,0
-0.28877443,0.33451074,0
-0.31206158,0.30357182,0
-0.31933144,0.2699842,0
-0.26021636,0.2842754,0
-0.32680848,0.33280075,0
-0.27322894,0.2533295,0
-0.26780778,0.2740913,0
-0.36488396,0.28331602,0
-0.29804546,0.27984172,0
-0.25148055,0.27202123,0
-0.34333026,0.27058026,0
-0.26475525,0.1812195,0
-0.3252491,0.20895827,0
-0.34704834,0.2686553,0
-0.20501839,0.19843566,0
-0.34974873,0.19974852,0
-0.29224464,0.18599041,0
-0.3086174,0.21626253,0
-0.31601834,0.19588202,0
-0.3130796,0.21294864,0
-0.24767488,0.19568314,0
-0.3924733,0.22485562,0
-0.3263712,0.24067552,0
-0.360037,0.20618787,0
-0.33976156,0.33394748,5
-0.28651324,0.32656252,6
-0.2247366,0.32290497,6
-0.21837157,0.2958622,6
-0.18580139,0.26857036,6
-0.14421073,0.35227928,6
-0.26236665,0.1853256,0
-0.14184144,0.32091218,6
-0.40509006,0.22653562,0
-0.44810802,0.23506089,0
-0.3374956,0.1834953,0
-0.35524425,0.20554426,0
-0.41045892,0.24600396,0
-0.3263683,0.15306056,0
-0.38159537,0.20505239,0
-0.39042115,0.227303,0
-0.35826916,0.20925957,0
-0.43072185,0.2378251,0
-0.32523647,0.13007307,0
-0.31012157,0.19818027,0
-0.33614102,0.18934397,0
-0.3460508,0.19351594,0
-0.40733725,0.23309119,0
-0.43052056,0.2927788,0
-0.36098856,0.24576077,0
-0.30069944,0.2130673,0
-0.4269148,0.28506428,5
-0.3722814,0.23231176,0
-0.34398055,0.2065811,0
-0.34590217,0.2378613,0
-0.37805432,0.21274363,0
-0.4121352,0.2193425,0
-0.38643113,0.23049909,0
-0.41504776,0.1898767,0
-0.3501582,0.23162545,0
-0.3272502,0.2169627,0
-0.4829876,0.29881698,5
-0.43062678,0.29177687,5
-0.33638972,0.27133346,0
-0.45061165,0.27444857,5
-0.3714066,0.26475334,0
-0.42986673,0.24099387,0
-0.3723572,0.2320582,0
-0.32847497,0.19812618,0
-0.2821407,0.20014314,0
-0.34859723,0.19321388,0
-0.1259346,0.17860311,0
-0.2815956,0.22956039,6
-0.2930684,0.24416207,0
-0.280493,0.2614581,6
-0.16830902,0.27357215,0
-0.23825872,0.2139499,0
-0.26022974,0.19950987,6
-0.19828603,0.19738229,0
-0.2853728,0.26962703,6
-0.2126678,0.16391025,0
-0.2278988,0.25294992,0
-0.16301647,0.19059053,0
-0.25153044,0.18349926,0
-0.32544547,0.2539989,0
-0.19857764,0.21721618,0
-0.19712132,0.15003179,0
-0.34664416,0.22497314,0
-0.2887265,0.25030804,0
-0.40186357,0.25643748,0
-0.3231492,0.22106782,0
-0.3404757,0.18499893,0
-0.3391454,0.24761824,0
-0.3394937,0.2409684,0
-0.3700619,0.18386306,0
-0.36916855,0.24200892,0
-0.26849687,0.2149277,0
-0.29192388,0.2491239,0
-0.39028004,0.26828846,0
-0.38496503,0.2592705,0
-0.38415515,0.2937291,0
-0.40768957,0.25608355,0
-0.3957257,0.26087517,0
-0.36176822,0.2334851,0
-0.42556962,0.29940033,0
-0.4137199,0.26378247,0
-0.40774956,0.27318132,0
-0.5143149,0.32487714,5
-0.34964517,0.18307938,0
-0.5172007,0.28725457,5
-0.4178454,0.29668644,6
-0.5109384,0.25796396,5
-0.37872756,0.24359843,0
-0.4134231,0.2413753,0
-0.44766316,0.24565262,0
-0.3282167,0.21908996,0
-0.33002657,0.21188852,0
-0.38850152,0.18299663,0
-0.34603783,0.21841875,0
-0.3049326,0.19469969,0
-0.3562565,0.2271616,0
-0.35239816,0.19983897,0
-0.3031101,0.18995747,0
-0.35144243,0.19459893,0
-0.36866724,0.21595849,0
-0.1794071,0.33431858,0
-0.3128299,0.22191623,0
-0.14784718,0.31881103,4
-0.3213233,0.2622067,0
-0.2971981,0.31247127,0
-0.14941041,0.33119354,6
-0.3756904,0.26534382,0
-0.34150207,0.3099263,0
-0.40494543,0.24104455,0
-0.4624268,0.3091683,5
-0.30565006,0.13340804,0
-0.31407496,0.18263851,0
-0.44842404,0.21824077,0
-0.41130343,0.21529217,0
-0.40229127,0.19698429,0
-0.51757807,0.3039633,5
-0.3889166,0.19115934,0
-0.4070852,0.19740275,0
-0.4725987,0.26018298,5
-0.47981915,0.27160847,5
-0.42082173,0.254491,0
-0.4842339,0.2549975,5
-0.3561561,0.18210524,0
-0.43894795,0.2583188,5
-0.3931506,0.22254483,0
-0.4376265,0.22410569,0
-0.32183945,0.26259768,0
-0.43249178,0.295963,5
-0.43750998,0.24939208,0
-0.42295715,0.2557986,5
-0.3939017,0.19661829,0
-0.5125514,0.24938838,5
-0.42640975,0.2071488,0
-0.4439519,0.2422903,0
-0.42355657,0.25596648,5
-0.3832803,0.20199253,0
-0.42284027,0.2623393,0
-0.37222493,0.25032514,5
-0.2747615,0.23537047,0
-0.381071,0.24334224,0
-0.39382294,0.29423493,0
-0.26519462,0.19623028,0
-0.25849515,0.26225302,0
-0.46928093,0.33251166,5
-0.3622463,0.29137832,5
-0.39874202,0.30665913,5
-0.38139248,0.29907373,0
-0.32544133,0.27645975,0
-0.345267,0.25310254,0
-0.39149177,0.2842766,0
-0.4409931,0.255433,0
-0.3757063,0.24142668,0
-0.4246797,0.16351973,0
-0.43882522,0.19324955,0
-0.31200504,0.20621814,0
-0.48866746,0.2427856,5
-0.41101685,0.28823724,0
-0.38280883,0.29305023,0
-0.32226333,0.28770405,0
-0.2827695,0.25875187,0
-0.28609273,0.23469621,0
-0.4731128,0.30180356,5
-0.4395443,0.25213724,0
-0.4464791,0.26724297,0
-0.36518982,0.33335736,0
-0.4514136,0.28815717,5
-0.38324538,0.35313016,6
-0.33973655,0.36285293,0
-0.42415622,0.40204465,6
-0.40708718,0.46930242,6
-0.2715504,0.30609962,0
-0.28813535,0.36157882,0
-0.34221816,0.3057694,0
-0.25279617,0.28657317,0
-0.28773987,0.36118674,6
-0.37150493,0.3313181,6
-0.40987936,0.36234978,5
-0.26606247,0.3829884,6
-0.28986028,0.367762,6
-0.3479394,0.3260977,6
-0.24233311,0.3234871,0
-0.35274082,0.3585153,6
-0.26358166,0.32950857,6
-0.37762094,0.33676517,6
-0.34513548,0.30449852,0
-0.37439957,0.3113693,6
-0.3315934,0.24363023,0
-0.30054763,0.30069405,6
-0.1412446,0.28197873,6
-0.26560086,0.310403,6
-0.24198589,0.32837614,6
-0.1368972,0.36366212,6
-0.25951436,0.39088425,6
-0.12880725,0.40788516,6
-0.16893935,0.34857824,6
-0.16581401,0.36393866,6
-0.14949976,0.33929917,6
-0.1656262,0.33863485,6
-0.18550089,0.31882325,6
-0.25902885,0.33417514,6
-0.22184771,0.24883345,6
-0.18069018,0.28170252,6
-0.35456508,0.2961371,6
-0.2402201,0.2622146,6
-0.27530727,0.26314515,0
-0.2843025,0.26683122,0
-0.2867611,0.28180206,0
-0.19437097,0.28571537,6
-0.24785253,0.28443432,0
-0.15527835,0.25095585,0
-0.114751235,0.29244345,0
-0.2182922,0.2976871,0
-0.21561319,0.29378438,0
-0.19104278,0.31796908,6
-0.21730462,0.37947816,6
-0.21799996,0.30135426,6
-0.1628423,0.35034466,0
-0.1491747,0.26090497,0
-0.16600133,0.20306803,0
-0.18873292,0.24292918,0
-0.2912783,0.27558973,0
-0.25290552,0.2958688,0
-0.31834215,0.31481963,0
-0.2652376,0.30721796,0
-0.19554436,0.26933503,0
-0.22624275,0.281153,0
-0.3418546,0.31657752,0
-0.2466352,0.2806691,0
-0.27613732,0.3115295,0
-0.19410442,0.32221177,0
-0.2354992,0.2296786,0
-0.23660168,0.30224735,0
-0.3772189,0.31863856,5
-0.34445214,0.24756886,0
-0.16705623,0.2556644,0
-0.06973849,0.20937085,0
-0.19090393,0.29409277,0
-0.19984755,0.25926676,0
-0.31679097,0.34435204,6
-0.21525058,0.2781849,0
-0.18298003,0.22944187,0
-0.21310636,0.27594325,0
-0.18347123,0.29603395,0
-0.14715418,0.19850947,0
-0.24813816,0.28618073,0
-0.3000966,0.32776824,0
-0.22954363,0.32472795,0
-0.26750252,0.32758754,0
-0.38110667,0.30323714,0
-0.29062322,0.26561663,0
-0.30923712,0.24490394,0
-0.32323173,0.2715652,0
-0.327064,0.27528864,0
-0.28125313,0.23494665,0
-0.35257462,0.284374,0
-0.34064052,0.2981364,0
-0.2875111,0.28677502,0
-0.31025642,0.31151837,0
-0.33666724,0.296475,0
-0.29221907,0.28384715,0
-0.21617159,0.22567804,0
-0.33926362,0.27184027,0
-0.20626271,0.28735828,0
-0.28676566,0.2661522,0
-0.25753012,0.2469773,0
-0.24099484,0.3071009,0
-0.22985077,0.21347943,0
-0.3177777,0.24084654,0
-0.29952618,0.26430827,0
-0.25579396,0.2654648,0
-0.44313613,0.28702587,0
-0.3374392,0.2237045,0
-0.42687863,0.25236154,0
-0.41046277,0.26557702,5
-0.35952976,0.25307268,0
-0.291256,0.2894307,0
-0.27994534,0.264513,0
-0.3182702,0.2627654,0
-0.3482602,0.27195,0
-0.34209707,0.31351668,0
-0.24709365,0.3103805,0
-0.2497985,0.30739373,0
-0.39592406,0.28042513,0
-0.27499124,0.22244343,0
-0.3036128,0.25324392,0
-0.32369715,0.26676765,0
-0.23968264,0.3047547,0
-0.34076297,0.32112423,0
-0.35317084,0.30068976,0
-0.28886616,0.30147177,0
-0.32806855,0.2577712,0
-0.31884247,0.27957034,0
-0.37265328,0.27245176,0
-0.43271926,0.29960224,0
-0.5333866,0.2737034,5
-0.4148517,0.2453768,0
-0.38856217,0.24881291,0
-0.49740854,0.23249005,0
-0.34588093,0.2648098,0
-0.39781746,0.26011196,0
-0.32538232,0.23747963,0
-0.35175893,0.24436024,0
-0.32444024,0.22410035,0
-0.36177632,0.20464197,0
-0.23008326,0.18889742,0
-0.31298456,0.19320725,0
-0.36942935,0.3024779,0
-0.353976,0.2797177,0
-0.3680541,0.24774572,0
-0.30738124,0.23358104,0
-0.3315843,0.24957223,0
-0.36151507,0.2592173,0
-0.43065068,0.3106017,5
-0.3808154,0.28178278,0
-0.2954796,0.28581852,0
-0.3194364,0.26397628,0
-0.40852612,0.30471644,0
-0.3028085,0.26590282,0
-0.43395042,0.27059686,0
-0.40301675,0.24716073,0
-0.27137217,0.1858192,0
-0.34385288,0.21169429,0
-0.35481346,0.22900625,0
-0.31952327,0.20410132,0
-0.34419435,0.21030584,0
-0.3683107,0.2743238,0
-0.30282864,0.20952542,0
-0.346409,0.24305034,0
-0.3161964,0.27186865,0
-0.29629716,0.21186621,0
-0.32043675,0.23805915,0
-0.31776807,0.21106051,0
-0.30062053,0.17713632,0
-0.27028525,0.21419966,0
-0.36639684,0.28161505,0
-0.26508912,0.23219267,0
-0.3555031,0.24114111,0
-0.25120384,0.23778002,0
-0.29995638,0.2365185,0
-0.3117629,0.24173544,0
-0.21814045,0.22794488,0
-0.33006802,0.25573984,0
-0.29282734,0.2489351,0
-0.2629263,0.24254814,0
-0.2893476,0.21642792,0
-0.32651326,0.2613416,0
-0.2204735,0.31097814,0
-0.14885135,0.27133048,0
-0.17475197,0.29932612,0
-0.27188042,0.31135532,0
-0.20598401,0.3099485,0
-0.3026778,0.34494722,6
-0.28081852,0.24065231,0
-0.25587308,0.27107853,0
-0.31173405,0.23385921,0
-0.23154211,0.27618602,0
-0.24995741,0.22134486,0
-0.27382413,0.25411698,0
-0.28617743,0.21049254,0
-0.27257258,0.2059631,0
-0.32232815,0.24128035,0
-0.3158236,0.18626094,0
-0.33752668,0.18869591,0
-0.34006122,0.26474437,0
-0.26100284,0.26948488,0
-0.31184787,0.24797332,0
-0.32526237,0.2273068,0
-0.28303352,0.2630564,0
-0.31288472,0.26793903,0
-0.31905884,0.22049226,0
-0.09073922,0.25132772,0
-0.31776813,0.24059896,0
-0.094655976,0.32590723,0
-0.06418246,0.2773133,0
-0.072952226,0.3298432,0
-0.11752623,0.28679076,0
-0.12232976,0.26822284,0
-0.063994914,0.281811,0
-0.088115886,0.29644784,0
-0.05057523,0.31643197,0
-0.05083901,0.27934778,0
-0.058377545,0.28730977,0
-0.082141355,0.3022651,0
-0.06800002,0.3513123,0
-0.054376375,0.3748734,0
-0.079891175,0.33367765,0
-0.06265266,0.332623,0
-0.08545953,0.334778,0
-0.05424322,0.3470124,0
-0.057526972,0.32736635,0
-0.16681235,0.23488459,0
-0.09047672,0.29134464,0
-0.23408139,0.23076515,0
-0.14981252,0.19561271,0
-0.19731773,0.29651654,0
-0.2843601,0.22691002,0
-0.26208958,0.28544286,0
-0.3193626,0.32300907,0
-0.24908397,0.26309657,0
-0.20740953,0.19968303,0
-0.23032624,0.2413341,0
-0.257342,0.30632347,0
-0.26370507,0.28406197,0
-0.20352681,0.29800326,0
-0.29566017,0.17167297,0
-0.31279126,0.24017242,0
-0.2105783,0.2564074,0
-0.27660093,0.23685029,0
-0.30622673,0.33506632,0
-0.2581674,0.11397296,0
-0.2829185,0.25832418,0
-0.2534199,0.23082155,0
-0.27803975,0.22580786,0
-0.30938733,0.22207828,0
-0.35174868,0.25515205,0
-0.24823815,0.19251564,0
-0.28055498,0.18646048,0
-0.24487773,0.25887057,0
-0.2570702,0.27286756,6
-0.32862115,0.24648124,0
-0.15465039,0.39202476,4
-0.21620831,0.3340233,0
-0.27330604,0.25804502,0
-0.2643157,0.23202246,0
-0.17205898,0.3122018,0
-0.24479514,0.3262393,0
-0.11721234,0.34279212,0
-0.14473358,0.3535069,0
-0.26191133,0.3207146,0
-0.18252197,0.36579746,6
-0.30049434,0.39809155,6
-0.26610008,0.33902434,0
-0.26519248,0.30581784,0
-0.21602824,0.31635597,0
-0.1913101,0.3877344,0
-0.19504365,0.28973538,0
-0.20653705,0.39241776,0
-0.18795577,0.392535,6
-0.23361647,0.3768838,0
-0.26871473,0.3596906,0
-0.28068694,0.39272606,6
